Name Of Zone / Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Average
Ahmedabad,675,675,680,685,685,685,685,685,685,685,685,685,690,695,700,700,700,700,700,700,705,710,710,710,710,-,-,-,-,-,-,693.0
Ajmer,661,-,668,668,668,660,651,651,651,-,660,675,680,680,680,670,660,660,660,685,705,708,708,-,673,-,-,-,-,-,-,671.91
Allahabad (CC),700,705,705,705,700,695,695,690,690,700,705,710,715,715,715,715,705,700,700,710,738,738,738,738,729,-,-,-,-,-,-,710.24
Barwala,660,665,668,668,668,668,650,650,650,654,656,670,675,675,675,675,675,675,675,680,696,703,703,703,673,-,-,-,-,-,-,672.4
Bengaluru (CC),675,675,675,675,675,675,675,675,675,675,675,675,680,685,690,690,690,690,690,690,695,700,705,705,705,-,-,-,-,-,-,684.6
Bhopal,670,670,680,680,680,680,680,670,660,660,670,675,690,695,700,700,690,690,660,670,700,710,710,710,710,-,-,-,-,-,-,684.4
Brahmapur (OD),660,665,670,670,675,675,675,680,-,680,680,690,700,705,710,710,710,700,700,700,-,720,720,720,700,-,-,-,-,-,-,691.96
Chennai (CC),670,670,670,670,670,670,670,670,670,670,670,670,680,690,690,-,695,695,695,695,700,710,710,710,710,-,-,-,-,-,-,684.17
Chittoor,663,663,663,663,663,663,663,663,663,663,663,663,673,683,683,688,688,688,688,688,693,703,703,703,703,-,-,-,-,-,-,677.6
Delhi (CC),690,695,697,697,697,697,697,697,697,697,697,710,710,710,710,710,710,710,710,710,750,750,750,750,-,-,-,-,-,-,-,710.33
E.Godavari,635,640,645,645,650,650,650,650,650,650,650,655,665,670,675,675,-,675,675,675,680,690,695,695,695,-,-,-,-,-,-,663.96
Hospet,615,615,615,615,615,615,615,615,615,615,615,615,620,625,630,630,630,630,630,630,635,640,645,645,645,-,-,-,-,-,-,624.6
Hyderabad,635,640,645,651,651,651,651,651,651,651,651,651,656,661,666,671,671,671,650,650,660,670,675,675,675,-,-,-,-,-,-,657.2
Indore (CC),665,-,670,675,675,670,660,660,660,-,665,675,685,685,690,685,680,670,675,680,-,710,710,-,700,-,-,-,-,-,-,678.33
Jabalpur,665,665,670,670,670,670,660,660,660,660,660,665,675,685,695,695,680,680,680,680,701,710,710,710,710,-,-,-,-,-,-,679.44
Kanpur (CC),690,695,695,695,695,695,695,681,681,695,695,710,710,710,710,710,690,690,690,700,733,733,733,733,733,-,-,-,-,-,-,703.88
Kolkata (WB),690,695,700,705,710,710,710,715,720,720,720,725,735,735,735,735,725,725,725,730,750,760,760,760,730,-,-,-,-,-,-,725.0
Ludhiana,658,658,665,665,665,665,665,650,650,650,654,658,675,675,675,675,675,675,675,675,685,700,700,700,700,-,-,-,-,-,-,671.52
Luknow (CC),714,714,714,714,714,714,714,707,707,717,717,733,733,733,733,733,714,714,714,733,750,762,762,762,752,-,-,-,-,-,-,726.96
Mumbai (CC),700,705,710,715,715,715,705,705,705,695,695,700,710,720,725,730,730,730,710,710,720,730,740,745,745,-,-,-,-,-,-,716.4
Muzaffurpur (CC),720,725,730,730,730,730,710,710,710,715,715,730,735,735,735,735,735,720,720,740,760,765,765,765,735,-,-,-,-,-,-,732.0
Mysuru,675,675,675,675,675,675,675,675,675,675,675,675,680,685,690,690,690,690,690,690,695,701,706,706,706,-,-,-,-,-,-,684.76
Nagpur,660,690,690,690,690,680,670,670,650,650,665,665,675,685,685,700,685,690,680,680,685,685,705,715,705,-,-,-,-,-,-,681.8
Namakkal,610,610,610,610,610,610,610,610,610,610,610,610,615,620,625,625,625,625,625,625,630,635,640,640,640,-,-,-,-,-,-,619.6
Patna,720,725,730,730,730,730,710,710,710,715,715,730,735,735,735,735,735,720,720,740,760,765,765,765,735,-,-,-,-,-,-,732.0
Pune,700,705,710,715,715,715,705,705,705,705,705,705,705,715,720,725,725,725,715,715,725,735,740,740,740,-,-,-,-,-,-,716.6
Raipur,670,680,685,685,685,680,665,640,640,641,655,655,665,680,680,685,700,665,665,660,680,701,701,701,680,-,-,-,-,-,-,673.76
Ranchi  (CC),704,704,714,714,714,714,714,724,724,724,724,724,724,752,752,752,738,724,724,738,762,762,762,762,752,-,-,-,-,-,-,732.08
Surat,685,690,695,695,700,700,700,700,700,690,690,690,695,700,705,710,710,710,700,700,705,710,715,715,715,-,-,-,-,-,-,701.0
Varanasi (CC),700,707,713,713,713,707,700,700,700,707,717,727,727,733,733,733,724,717,717,733,750,750,750,750,740,-,-,-,-,-,-,722.44
Vijayawada,665,665,670,670,670,670,670,670,670,670,670,675,690,695,700,700,-,700,700,700,700,715,720,720,720,-,-,-,-,-,-,687.29
Vizag,625,630,640,640,640,640,640,640,640,640,640,645,660,670,675,675,675,675,675,675,680,702,702,702,702,-,-,-,-,-,-,661.12
W.Godavari,635,640,645,645,650,650,650,650,650,650,650,655,665,670,675,675,-,675,675,675,680,690,695,695,695,-,-,-,-,-,-,663.96
Warangal,637,642,647,653,653,653,653,653,653,653,653,653,658,663,668,673,673,673,652,652,662,672,677,677,677,-,-,-,-,-,-,659.2
